Date,Price,Open,High,Low,Change %
2019-03-31,50.3248,50.3248,50.3248,50.3248,-0.17
2019-04-01,50.7543,50.7543,50.7543,50.7543,0.85
2019-04-02,62.354,62.354,62.354,62.354,22.85
2019-04-03,75.3876,75.3876,75.3876,75.3876,20.9
2019-04-04,75.4766,75.4766,75.4766,75.4766,0.12
2019-04-05,74.0384,74.0384,74.0384,74.0384,-1.91
2019-04-06,73.2993,73.2993,73.2993,73.2993,-1.0
2019-04-07,74.3063,74.3063,74.3063,74.3063,1.37
2019-04-08,74.406,74.406,74.406,74.406,0.13
2019-04-09,69.2685,69.2685,69.2685,69.2685,-6.9
2019-04-10,67.0578,67.0578,67.0578,67.0578,-3.19
2019-04-11,65.4305,65.4305,65.4305,65.4305,-2.43
2019-04-12,62.417,62.417,62.417,62.417,-4.61
2019-04-13,59.3915,59.3915,59.3915,59.3915,-4.85
2019-04-14,58.9591,58.9591,58.9591,58.9591,-0.73
2019-04-15,60.377,60.377,60.377,60.377,2.4
2019-04-16,58.8305,58.8305,58.8305,58.8305,-2.56
2019-04-17,56.8502,56.8502,56.8502,56.8502,-3.37
2019-04-18,57.657,57.657,57.657,57.657,1.42
2019-04-19,56.8576,56.8576,56.8576,56.8576,-1.39
2019-04-20,56.137,56.137,56.137,56.137,-1.27
2019-04-21,56.3304,56.3304,56.3304,56.3304,0.34
2019-04-22,56.1304,56.1304,56.1304,56.1304,-0.36
2019-04-23,60.4151,60.4151,60.4151,60.4151,7.63
2019-04-24,61.043,61.043,61.043,61.043,1.04
2019-04-25,61.0823,61.0823,61.0823,61.0823,0.06
2019-04-26,61.8611,61.8611,61.8611,61.8611,1.28
2019-04-27,60.0034,60.0034,60.0034,60.0034,-3.0
2019-04-28,60.4367,60.4367,60.4367,60.4367,0.72
2019-04-29,62.1444,62.1444,62.1444,62.1444,2.83
2019-04-30,62.0534,62.0534,62.0534,62.0534,-0.15
2019-05-01,61.1362,61.1362,61.1362,61.1362,-1.48
2019-05-02,61.4134,61.4134,61.4134,61.4134,0.45
2019-05-03,63.87,63.87,63.87,63.87,4.0
2019-05-04,64.1867,64.1867,64.1867,64.1867,0.5
2019-05-05,65.8395,65.8395,65.8395,65.8395,2.58
2019-05-06,68.0412,68.0412,68.0412,68.0412,3.34
2019-05-07,70.0315,70.0315,70.0315,70.0315,2.93
2019-05-08,69.2857,69.2857,69.2857,69.2857,-1.06
2019-05-09,69.1922,69.1922,69.1922,69.1922,-0.14
2019-05-10,71.7662,71.7662,71.7662,71.7662,3.72
