Date,Price
2024-11-28,66.4081
2024-11-27,66.6927
2024-11-26,67.0474
2024-11-25,68.0017
2024-11-24,67.1370
2024-11-23,66.2618
2024-11-22,66.8515
2024-11-21,65.9055
2024-11-20,62.6147
2024-11-19,63.1117
2024-11-18,62.3345
2024-11-17,61.0867
2024-11-16,58.4635
2024-11-15,62.4346
2024-11-14,62.7469
2024-11-13,62.0448
2024-11-12,64.4964
2024-11-11,60.9551
2024-11-10,56.2198
2024-11-09,54.7789
2024-11-08,57.4671
2024-11-07,59.8218
2024-11-06,61.0995
2024-11-05,67.8162
2024-11-04,67.0277
2024-11-03,64.8028
2024-11-02,64.5863
2024-11-01,63.0987
2024-10-31,63.5695
2024-10-30,62.4158
2024-10-29,61.7029
2024-10-28,60.5702
2024-10-27,59.5907
2024-10-26,59.7501
2024-10-25,59.5572
2024-10-24,59.8850
2024-10-23,59.6233
2024-10-22,59.7692
2024-10-21,60.4520
2024-10-20,59.2068
2024-10-19,59.3844
2024-10-18,60.3218
2024-10-17,61.0053
2024-10-16,62.0842
2024-10-15,62.0299
2024-10-14,61.4173
2024-10-13,60.3639
2024-10-12,60.2015
2024-10-11,58.6649
2024-10-10,59.3734
2024-10-09,59.1022
2024-10-08,58.1613
2024-10-07,61.1341
2024-10-06,59.1531
2024-10-05,59.4268
2024-10-04,60.7465
2024-10-03,60.6085
2024-10-02,60.6929
2024-10-01,59.3905
2024-09-30,58.1433
2024-09-29,56.9274
2024-09-28,56.6836
2024-09-27,56.7538
2024-09-26,55.4221
2024-09-25,56.0574
2024-09-24,55.9524
2024-09-23,56.2002
2024-09-22,55.9633
2024-09-21,55.3414
2024-09-20,56.6615
2024-09-19,56.1566
2024-09-18,58.6079
2024-09-17,58.4485
2024-09-16,57.6806
2024-09-15,57.1620
2024-09-14,56.6835
2024-09-13,57.6860
2024-09-12,58.4241
2024-09-11,60.2565
2024-09-10,62.7302
2024-09-09,63.9648
2024-09-08,64.1381
2024-09-07,64.4484
2024-09-06,63.3571
2024-09-05,61.3223
2024-09-04,61.4370
2024-09-03,58.6862
2024-09-02,58.8060
2024-09-01,56.1855
2024-08-31,56.6426
2024-08-30,57.7187
2024-08-29,58.2750
2024-08-28,57.0632
2024-08-27,56.5994
2024-08-26,56.8138
2024-08-25,58.6121
2024-08-24,58.9698
2024-08-23,58.3244
2024-08-22,58.6350
2024-08-21,59.5393
2024-08-20,58.8154
2024-08-19,58.6815
2024-08-18,59.3856
2024-08-17,57.9224
2024-08-16,58.6703
2024-08-15,60.1412
2024-08-14,62.2256
2024-08-13,63.8011
2024-08-12,64.1595
2024-08-11,62.7020
2024-08-10,61.9517
2024-08-09,61.8593
2024-08-08,63.9810
2024-08-07,66.8590
2024-08-06,67.7486
2024-08-05,69.9784
2024-08-04,59.4869
2024-08-03,55.2715
2024-08-02,52.9015
2024-08-01,51.8882
2024-07-31,52.8275
2024-07-30,53.7969
2024-07-29,57.0625
2024-07-28,56.5118
2024-07-27,61.1883
2024-07-26,63.0632
2024-07-25,64.0530
2024-07-24,64.4439
2024-07-23,67.9041
2024-07-22,67.9045
2024-07-21,67.2920
2024-07-20,63.9697
2024-07-19,62.4976
2024-07-18,60.3581
2024-07-17,63.4041
2024-07-16,59.7121
2024-07-15,56.7010
2024-07-14,53.3228
2024-07-13,50.3574
2024-07-12,51.4051
2024-07-11,53.5034
2024-07-10,55.1599
2024-07-09,56.8129
2024-07-08,57.3624
2024-07-07,55.7145
2024-07-06,55.0000
2024-07-05,56.1623
2024-07-04,52.5893
2024-07-03,49.2687
2024-07-02,48.7618
2024-07-01,50.6111
2024-06-30,50.2598
2024-06-29,49.7392
2024-06-28,51.4859
2024-06-27,53.1966
2024-06-26,52.7869
2024-06-25,54.3766
2024-06-24,55.7726
2024-06-23,53.7790
2024-06-22,52.9651
2024-06-21,53.4105
2024-06-20,55.0571
2024-06-19,55.6419
2024-06-18,55.0645
2024-06-17,54.2100
2024-06-16,53.8222
2024-06-15,53.7986
2024-06-14,52.6492
2024-06-13,54.0594
2024-06-12,56.5562
2024-06-11,57.1028
2024-06-10,55.8418
2024-06-09,55.5611
2024-06-08,54.2417
